merge_key,Structure Author,PubMed Central ID,PubMed ID,Release Date,Ligand,PDB ID,Disulfide Bond Count per Deposited Model,DOI,Title,Expression Host,Source Organism,Molecular Weight (Entity),Oligomeric State,Glycosylation Site,SLC_ID,GENE,RESOLUTION,XRAY/EM,METHOD,AGGREGATION STATE,RECONSTRUCTION METHOD
8CUD,"Qiu, B., Boudker, O.",PMC10160106,37142617.0,2023-05-10,,8CUD,,10.1038/s41467-023-38120-5,Symport and antiport mechanisms of human glutamate transporters.,Homo sapiens,Homo sapiens,57.121,Monomer,,SLC1A1,SLC1A1,2.94 Å,: Monomer -,ELECTRON MICROSCOPY,PARTICLE,SINGLE PARTICLE
8CUJ,"Qiu, B., Boudker, O.",PMC10160106,37142617.0,2023-05-10,,8CUJ,,10.1038/s41467-023-38120-5,Symport and antiport mechanisms of human glutamate transporters.,Homo sapiens,Homo sapiens,57.121,Monomer,,SLC1A1,SLC1A1,3.04 Å,: Monomer -,ELECTRON MICROSCOPY,PARTICLE,SINGLE PARTICLE
6S3Q,"Baronina, A., Pike, A.C.W., Yu, X., Dong, Y.Y., Shintre, C.A., Tessitore, A., Chu, A., Rotty, B., Venkaya, S., Mukhopadhyay, S., Borkowska, O., Chalk, R., Shrestha, L., Burgess-Brown, N.A., Edwards, A.M., Arrowsmith, C.H., Bountra, C., Han, S., Carpenter, E.P., Structural Genomics Consortium (SGC)",,,2020-07-08,7O9,6S3Q,,,Structure of human excitatory amino acid transporter 3 (EAAT3),Spodoptera frugiperda,Homo sapiens,53.253,Homo 3-mer,,SLC1A1,SLC1A1,3.34 Å,: Homo 3-mer -,ELECTRON MICROSCOPY,PARTICLE,SINGLE PARTICLE
6X2L,"Qiu, B., Matthies, D., Boudker, O.",PMC7929514,33658209.0,2021-03-17,,6X2L,,10.1126/sciadv.abf5814,"Cryo-EM structures of excitatory amino acid transporter 3 visualize coupled substrate, sodium, and proton binding and transport.",Homo sapiens,Homo sapiens,57.275,Homo 3-mer,,SLC1A1,SLC1A1,2.85 Å,: Homo 3-mer -,ELECTRON MICROSCOPY,PARTICLE,SINGLE PARTICLE
6X2Z,"Qiu, B., Matthies, D., Boudker, O.",PMC7929514,33658209.0,2021-03-17,,6X2Z,,10.1126/sciadv.abf5814,"Cryo-EM structures of excitatory amino acid transporter 3 visualize coupled substrate, sodium, and proton binding and transport.",Homo sapiens,Homo sapiens,57.275,Monomer,,SLC1A1,SLC1A1,3.03 Å,: Monomer -,ELECTRON MICROSCOPY,PARTICLE,SINGLE PARTICLE
6X3E,"Qiu, B., Matthies, D., Boudker, O.",PMC7929514,33658209.0,2021-03-17,,6X3E,,10.1126/sciadv.abf5814,"Cryo-EM structures of excitatory amino acid transporter 3 visualize coupled substrate, sodium, and proton binding and transport.",Homo sapiens,Homo sapiens,57.301,Homo 3-mer,,SLC1A1,SLC1A1,3.42 Å,: Homo 3-mer -,ELECTRON MICROSCOPY,PARTICLE,SINGLE PARTICLE
6X3F,"Qiu, B., Matthies, D., Boudker, O.",PMC7929514,33658209.0,2021-03-17,,6X3F,,10.1126/sciadv.abf5814,"Cryo-EM structures of excitatory amino acid transporter 3 visualize coupled substrate, sodium, and proton binding and transport.",Homo sapiens,Homo sapiens,57.301,Homo 3-mer,,SLC1A1,SLC1A1,3.03 Å,: Homo 3-mer -,ELECTRON MICROSCOPY,PARTICLE,SINGLE PARTICLE
7NSG,"Baronina, A., Pike, A.C.W., Yu, X., Dong, Y.Y., Shintre, C.A., Tessitore, A., Chu, A., Rotty, B., Venkaya, S., Mukhopadhyay, S.M.M., Borkowska, O., Chalk, R., Shrestha, L., Burgess-Brown, N.A., Edwards, A.M., Arrowsmith, C.H., Bountra, C., Han, S., Carpenter, E.P., Structural Genomics Consortium (SGC)",,,2022-03-16,,7NSG,,,Structure of human excitatory amino acid transporter 3 (EAAT3) in complex with HIP-B,Spodoptera frugiperda,Homo sapiens,53.253,Homo 3-mer,,SLC1A1,SLC1A1,3.34 Å,: Homo 3-mer -,ELECTRON MICROSCOPY,PARTICLE,SINGLE PARTICLE
8CTC,"Qiu, B., Boudker, O.",PMC10160106,37142617.0,2023-05-10,,8CTC,,10.1038/s41467-023-38120-5,Symport and antiport mechanisms of human glutamate transporters.,Homo sapiens,Homo sapiens,57.121,Homo 3-mer,,SLC1A1,SLC1A1,2.80 Å,: Homo 3-mer -,ELECTRON MICROSCOPY,PARTICLE,SINGLE PARTICLE
8CTD,"Qiu, B., Boudker, O.",PMC10160106,37142617.0,2023-05-10,,8CTD,,10.1038/s41467-023-38120-5,Symport and antiport mechanisms of human glutamate transporters.,Homo sapiens,Homo sapiens,57.121,Monomer,,SLC1A1,SLC1A1,3.42 Å,: Monomer -,ELECTRON MICROSCOPY,PARTICLE,SINGLE PARTICLE
8CUA,"Qiu, B., Boudker, O.",PMC10160106,37142617.0,2023-05-10,,8CUA,3.0,10.1038/s41467-023-38120-5,Symport and antiport mechanisms of human glutamate transporters.,Homo sapiens,Homo sapiens,57.121,Homo 3-mer,,SLC1A1,SLC1A1,2.44 Å,: Homo 3-mer -,ELECTRON MICROSCOPY,PARTICLE,SINGLE PARTICLE
8CUI,"Qiu, B., Boudker, O.",PMC10160106,37142617.0,2023-05-10,,8CUI,3.0,10.1038/s41467-023-38120-5,Symport and antiport mechanisms of human glutamate transporters.,Homo sapiens,Homo sapiens,57.121,Homo 3-mer,,SLC1A1,SLC1A1,2.55 Å,: Homo 3-mer -,ELECTRON MICROSCOPY,PARTICLE,SINGLE PARTICLE
8CV2,"Qiu, B., Boudker, O.",PMC10160106,37142617.0,2023-05-10,,8CV2,,10.1038/s41467-023-38120-5,Symport and antiport mechanisms of human glutamate transporters.,Homo sapiens,Homo sapiens,57.121,Homo 3-mer,,SLC1A1,SLC1A1,2.44 Å,: Homo 3-mer -,ELECTRON MICROSCOPY,PARTICLE,SINGLE PARTICLE
8CV3,"Qiu, B., Boudker, O.",PMC10160106,37142617.0,2023-05-10,,8CV3,,10.1038/s41467-023-38120-5,Symport and antiport mechanisms of human glutamate transporters.,Homo sapiens,Homo sapiens,57.121,Monomer,,SLC1A1,SLC1A1,3.04 Å,: Monomer -,ELECTRON MICROSCOPY,PARTICLE,SINGLE PARTICLE
7AWL,"Canul-Tec, J.C., Legrand, P., Reyes, N.",PMC8724772,34747040.0,2021-10-13,,7AWL,,10.15252/embj.2021108341,The ion-coupling mechanism of human excitatory amino acid transporters.,Homo sapiens,Homo sapiens,56.46,Homo 3-mer,,SLC1A3,SLC1A3,3.70 Å,: Homo 3-mer -,X-RAY DIFFRACTION,,
7AWN,"Canul-Tec, J.C., Legrand, P., Reyes, N.",PMC8724772,34747040.0,2021-10-13,,7AWN,,10.15252/embj.2021108341,The ion-coupling mechanism of human excitatory amino acid transporters.,Homo sapiens,Homo sapiens,56.512,Homo 3-mer,,SLC1A3,SLC1A3,3.92 Å,: Homo 3-mer -,X-RAY DIFFRACTION,,
