Entry ID,Structure Author,Crystal Growth Procedure,Structural Genomics Project Center Name,PubMed Central ID,PubMed ID,Release Date,Ligand,PDB ID,Disulfide Bond Count per Deposited Model,Structure Determination Methodology,Data Collection Resolution,DOI,Title,Expression Host,Source Organism,Molecular Weight (Entity),Oligomeric State,Glycosylation Site,SLC_ID
,,,,,,,,,,,,,,,,,,,SLC35A1
6I1Z,"Nji, E., Gulati, A., Qureshi, A.A., Drew, D.","35 % (v/v) PEG 400, 0.1 M NaCl, 0.1 M MES",,,31133698,2019-06-05,,6I1Z,,experimental,3.4,10.1038/s41594-019-0225-y,Structural basis for the delivery of activated sialic acid into Golgi for sialyation.,Saccharomyces cerevisiae,Zea mays,36.519,Homo 2-mer,,SLC35A1
6OH2,"Ahuja, S., Whorton, M.R.","26.7-30% PEG 300, 0.1 M MES pH 6.5, and 0.1 M NaCl",,PMC6508934,30985278,2019-04-24,,6OH2,,experimental,2.58,10.7554/eLife.45221,Structural basis for mammalian nucleotide sugar transport.,Komagataella pastoris,Mus musculus,35.852,Monomer,,SLC35A1
6XBO,"Ahuja, S., Whorton, M.R.","26.7-30% PEG 300, 0.1 M MES pH 6.5, and 0.1 M NaCl",,PMC8174729,34081697,2021-06-09,,6XBO,,experimental,1.8,10.1371/journal.pone.0249905,Inhibition of CMP-sialic acid transport by endogenous 5-methyl CMP.,Komagataella pastoris,Mus musculus,35.852,Monomer,,SLC35A1
6I1R,"Nji, E., Gulati, A., Qureshi, A.A., Drew, D.","400 mM Ammonium sulfate, 100 mM Lithium sulfate, 100 mM NaCl, 100 mM Sodium citrate, 30% PEG 300, tert butanol and 1.2 mM CMP",,,31133698,2019-06-05,,6I1R,,experimental,2.8,10.1038/s41594-019-0225-y,Structural basis for the delivery of activated sialic acid into Golgi for sialyation.,Saccharomyces cerevisiae,Zea mays,36.519,Homo 2-mer,,SLC35A1
6OH3,"Ahuja, S., Whorton, M.R.","28.05% PEG 350 MME, 40 mM Tris pH 8.0, and 40 mM NaCl",,PMC6508934,30985278,2019-04-24,,6OH3,,experimental,2.75,10.7554/eLife.45221,Structural basis for mammalian nucleotide sugar transport.,Komagataella pastoris,Mus musculus,35.852,Monomer,,SLC35A1
6OH4,"Ahuja, S., Whorton, M.R.","25.6-26.8% PEG 400, 0.1 M Tris pH 8.5, and 0.1 M magnesium acetate",,PMC6508934,30985278,2019-04-24,,6OH4,,experimental,3.38,10.7554/eLife.45221,Structural basis for mammalian nucleotide sugar transport.,Komagataella pastoris,Mus musculus,37.495,Monomer,,SLC35A1
,,,,,,,,,,,,,,,,,Monomer,,SLC35A1
,,,,,,,,,,,,,,,,,,,SLC6A20
8I91,"Li, Y.N., Zhang, Y.Y., Shen, Y.P., Yan, R.H.",,,PMC10491607,37684251,2023-09-27,,8I91,10,experimental,,10.1038/s41421-023-00596-2,Structural insight into the substrate recognition and transport mechanism of amino acid transporter complex ACE2-B 0 AT1 and ACE2-SIT1.,Homo sapiens,Homo sapiens,95.38,Hetero 4-mer,N-Glycosylation,SLC6A20
